world_size=2, NCCL backend

# NCCL P2P send/recv (rank0 -> rank1)
size(B)    time(us)   BW_GB/s
4096       30.23      0.14      
65536      28.73      2.28      
1048576    37.66      27.84     
4194304    129.44     32.40     
16777216   491.64     34.13     
67108864   1941.97    34.56     
268435456  7734.78    34.71     

# NCCL AllReduce (ring, 2 GPUs)
size(B)    time(us)   eff_BW_GB/s
4096       36.57      0.11      
65536      29.89      2.19      
1048576    65.04      16.12     
4194304    165.53     25.34     
16777216   592.88     28.30     
67108864   2301.13    29.16     
268435456  9009.09    29.80     
